KGAS_ID,RMS,minchan,maxchan,minchan_v,maxchan_v,Detected_10kms,Detected_30kms
1,0.001046036,91,170,15441,16309,FALSE,FALSE
2,0.001049965,82,164,15342,16243,FALSE,FALSE
3,0.001048873,96,142,15496,16001,TRUE,TRUE
4,0.001072448,34,114,14815,15694,FALSE,FALSE
5,0.001612328,46,87,13555,14002,TRUE,TRUE
6,0.001588166,111,165,14263,14851,TRUE,TRUE
7,0.00161772,89,123,14024,14394,TRUE,TRUE
8,0.001629948,52,141,13621,14590,FALSE,FALSE
9,0.001583679,35,86,13435,13991,TRUE,TRUE
10,0.001597078,110,135,14253,14525,TRUE,TRUE
12,0.001577597,39,80,13479,13925,TRUE,TRUE
13,0.001554923,32,108,13403,14230,FALSE,FALSE
14,0.001412232,89,151,16622,17309,FALSE,FALSE
15,0.00140457,172,185,17541,17685,TRUE,TRUE
16,0.001399129,60,91,16301,16644,TRUE,TRUE
17,0.001411097,5,27,15692,15936,TRUE,TRUE
18,0.001381568,63,87,16334,16600,TRUE,TRUE
19,0.001385307,44,79,16123,16511,TRUE,TRUE
20,0.001380492,48,121,16168,16976,FALSE,FALSE
21,0.00137222,151,187,17309,17708,TRUE,TRUE
22,0.001373823,100,140,16744,17187,TRUE,TRUE
23,0.00134517,11,65,15759,16357,TRUE,TRUE
24,9.32E-04,105,138,12717,13073,TRUE,TRUE
25,9.74E-04,124,172,12923,13441,TRUE,TRUE
26,9.29E-04,17,50,11767,12123,TRUE,TRUE
27,9.60E-04,44,80,12058,12446,TRUE,TRUE
28,9.55E-04,156,222,13268,13980,TRUE,TRUE
29,9.60E-04,137,173,13062,13451,TRUE,TRUE
30,9.69E-04,96,137,12620,13062,TRUE,TRUE
31,9.65E-04,116,199,12836,13731,FALSE,FALSE
32,9.67E-04,153,226,13235,14022,FALSE,FALSE
33,9.74E-04,165,214,13364,13893,TRUE,TRUE
34,0.00194742,30,143,7245,8428,FALSE,FALSE
35,0.001946166,118,149,8167,8491,TRUE,TRUE
36,0.002011881,107,145,8052,8450,TRUE,TRUE
37,0.001938896,146,202,8461,9047,TRUE,TRUE
38,0.001899339,5,57,6985,7529,TRUE,TRUE
39,0.00192906,95,149,7926,8491,TRUE,TRUE
40,0.001951767,40,111,7349,8093,FALSE,FALSE
41,0.00199817,170,200,8712,9026,TRUE,TRUE
42,0.001872314,5,50,6985,7456,TRUE,TRUE
43,0.001886179,82,161,7791,8618,FALSE,FALSE
44,0.001863437,5,45,6984,7403,TRUE,TRUE
45,0.002017088,91,171,7884,8722,FALSE,FALSE
46,0.001924408,70,99,7664,7967,TRUE,TRUE
47,0.00204726,1,75,6942,7716,FALSE,FALSE
48,8.82E-04,61,128,10986,11703,TRUE,TRUE
49,8.85E-04,105,131,11457,11735,TRUE,TRUE
50,8.84E-04,89,111,11285,11520,TRUE,TRUE
51,8.86E-04,55,83,10921,11220,TRUE,TRUE
52,8.85E-04,93,120,11328,11617,TRUE,TRUE
53,8.86E-04,88,134,11274,11767,TRUE,TRUE
54,0.001177309,47,125,13470,14319,FALSE,FALSE
55,0.001172234,40,74,13395,13765,TRUE,TRUE
56,0.001178171,26,59,13242,13601,TRUE,TRUE
57,0.001152656,52,127,13524,14341,FALSE,FALSE
58,0.001168136,95,151,13993,14602,TRUE,TRUE
